atc1,atc1_label,atc2,atc2_label,atc3,atc3_label,atc4,atc4_label,atc5,atc5_label,boites,rem,bse
G,SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES,G03,HORMONES SEXUELLES ET MODULATEURS DE LA FONCTION GENITALE,G03A,CONTRACEPTIFS HORMONAUX A USAGE SYSTEMIQUE,G03AB,PROGESTATIFS ET ESTROGENES POUR ADMINISTRATION SEQUENTIELLE,G03AB03,LEVONORGESTREL ET ESTROGENE,55212.0,129316.49,179126.5
G,SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES,G03,HORMONES SEXUELLES ET MODULATEURS DE LA FONCTION GENITALE,G03A,CONTRACEPTIFS HORMONAUX A USAGE SYSTEMIQUE,G03AC,PROGESTATIFS,9999999,Non restitué,4060.0,61985.04,82602.71
G,SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES,G03,HORMONES SEXUELLES ET MODULATEURS DE LA FONCTION GENITALE,G03A,CONTRACEPTIFS HORMONAUX A USAGE SYSTEMIQUE,G03AC,PROGESTATIFS,G03AC03,LEVONORGESTREL,10451.0,22049.27,30820.26
G,SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES,G03,HORMONES SEXUELLES ET MODULATEURS DE LA FONCTION GENITALE,G03A,CONTRACEPTIFS HORMONAUX A USAGE SYSTEMIQUE,G03AC,PROGESTATIFS,G03AC06,MEDROXYPROGESTERONE,298.0,464.64000000000004,965.5100000000001
G,SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES,G03,HORMONES SEXUELLES ET MODULATEURS DE LA FONCTION GENITALE,G03A,CONTRACEPTIFS HORMONAUX A USAGE SYSTEMIQUE,G03AC,PROGESTATIFS,G03AC08,ETONOGESTREL,67760.0,106270.66,74726.51
G,SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES,G03,HORMONES SEXUELLES ET MODULATEURS DE LA FONCTION GENITALE,G03A,CONTRACEPTIFS HORMONAUX A USAGE SYSTEMIQUE,G03AC,PROGESTATIFS,G03AC09,DESOGESTREL,833315.0,477890.38,554828.49
G,SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES,G03,HORMONES SEXUELLES ET MODULATEURS DE LA FONCTION GENITALE,G03A,CONTRACEPTIFS HORMONAUX A USAGE SYSTEMIQUE,G03AD,CONTRACEPTION D'URGENCE,9999999,Non restitué,1074.0,5608.64,6762.14
G,SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES,G03,HORMONES SEXUELLES ET MODULATEURS DE LA FONCTION GENITALE,G03A,CONTRACEPTIFS HORMONAUX A USAGE SYSTEMIQUE,G03AD,CONTRACEPTION D'URGENCE,G03AD01,LEVONORGESTREL,76551.0,151994.89,171708.72
G,SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES,G03,HORMONES SEXUELLES ET MODULATEURS DE LA FONCTION GENITALE,G03A,CONTRACEPTIFS HORMONAUX A USAGE SYSTEMIQUE,G03AD,CONTRACEPTION D'URGENCE,G03AD02,ULIPRISTAL,19143.0,112782.54,130167.8
G,SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES,G03,HORMONES SEXUELLES ET MODULATEURS DE LA FONCTION GENITALE,G03B,ANDROGENES,99999,Non restitué,9999999,Non restitué,1944.0,15651.68,35630.8
G,SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES,G03,HORMONES SEXUELLES ET MODULATEURS DE LA FONCTION GENITALE,G03B,ANDROGENES,G03BA,DERIVES DU 3 OXOANDROSTENE,G03BA03,TESTOSTERONE,189062.0,215077.21,224753.21
G,SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES,G03,HORMONES SEXUELLES ET MODULATEURS DE LA FONCTION GENITALE,G03B,ANDROGENES,G03BB,DERIVES DE LA 5 ANDROSTAN-3-ONE,G03BB02,ANDROSTANOLONE,1093.0,6141.01,8789.08
G,SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES,G03,HORMONES SEXUELLES ET MODULATEURS DE LA FONCTION GENITALE,G03C,ESTROGENES,G03CA,ESTROGENES NATURELS ET HEMISYNTHETIQUES NON ASSOCIES,9999999,Non restitué,4180.0,9069.84,17705.75
G,SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES,G03,HORMONES SEXUELLES ET MODULATEURS DE LA FONCTION GENITALE,G03C,ESTROGENES,G03CA,ESTROGENES NATURELS ET HEMISYNTHETIQUES NON ASSOCIES,G03CA03,ESTRADIOL,421419.0,650847.62,761004.35
G,SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES,G03,HORMONES SEXUELLES ET MODULATEURS DE LA FONCTION GENITALE,G03C,ESTROGENES,G03CA,ESTROGENES NATURELS ET HEMISYNTHETIQUES NON ASSOCIES,G03CA04,ESTRIOL,139909.0,165512.16,372128.13
G,SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES,G03,HORMONES SEXUELLES ET MODULATEURS DE LA FONCTION GENITALE,G03C,ESTROGENES,G03CA,ESTROGENES NATURELS ET HEMISYNTHETIQUES NON ASSOCIES,G03CA09,PROMESTRIENE,160191.0,218986.05,437343.31
G,SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES,G03,HORMONES SEXUELLES ET MODULATEURS DE LA FONCTION GENITALE,G03D,PROGESTATIFS,99999,Non restitué,9999999,Non restitué,3666.0,18783.23,27186.85
G,SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES,G03,HORMONES SEXUELLES ET MODULATEURS DE LA FONCTION GENITALE,G03D,PROGESTATIFS,G03DA,DERIVES PREGNENE 4,9999999,Non restitué,71.0,168.44,478.15
G,SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES,G03,HORMONES SEXUELLES ET MODULATEURS DE LA FONCTION GENITALE,G03D,PROGESTATIFS,G03DA,DERIVES PREGNENE 4,G03DA04,PROGESTERONE,395297.0,854795.61,1111950.37
G,SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES,G03,HORMONES SEXUELLES ET MODULATEURS DE LA FONCTION GENITALE,G03D,PROGESTATIFS,G03DB,DERIVES PREGNADIENE,9999999,Non restitué,19776.0,62407.63,90818.97
G,SYSTEME GENITO-URINAIRE ET HORMONES SEXUELLES,G03,HORMONES SEXUELLES ET MODULATEURS DE LA FONCTION GENITALE,G03D,PROGESTATIFS,G03DB,DERIVES PREGNADIENE,G03DB01,DYDROGESTERONE,439333.0,182314.71,200358.36
